,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук F+ FLAPTOP R FLTP-5R3-16512-w,47 247 ₽,"15.6""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,,1.7 кг,Windows 11
Ноутбук Acer Swift X SFX14-51G [NX.K6KER.005],86 237 ₽,"14""",512 Гб,16 ГБ,12,,,,Windows 11
"Ноутбук Hiper WORKBOOK N1567RH 15.6"", i3, цвет серебристый",35 490 ₽,"15.6""",256 Гб,8,2-ядерный,"Ноутбук-1шт., инструкция-1шт., гарантийный талон-1шт.",,,Windows 10
"Ноутбук Lenovo V15-IIL Core i5 1035G1/8Gb/SSD256Gb/15,6""/TN/FHD/Win10Pro/grey",49 221 ₽,"15,6",256 Гб,8,4,Ноутбук - 1 шт,,,Windows 10 Pro
Ноутбук Acer Aspire 3 A315-56/i3/8Gb/512Gb [NX.HS5ER.02E],35 087 ₽,"15.6""",512 Гб,8,2,,,,noOS
"Ноутбук K3500PA-KJ407 15.6"" i7-11370H 16ГБ/512ГБ SSD UMA",70 413 ₽,15.6'',512 Гб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Игровой ноутбук ROG STRIX SCAR 15 G533ZW-LN076W 15.6""",238 605 ₽,15.6,2048 Гб,32 ГБ,14,"Ноутбук, блок питания, шнур питания",90 Вт/ч,2.3 кг,Windows 11 Home
"Ноутбук HP Victus 512Gb/15.6"" IPS/RTX 3050Ti/Win 11(677H9UA)",95 000 ₽,15.6,512,16 ГБ,8,"Ноутбук, документация, зарядный блок",,2.29 кг,Windows Home
Ноутбук Acer Extensa 15 EX215-32 (NX.EGNER.003),51 275 ₽,15.6 дюймов,256 Гб,4 Гб,4 ядра,,,,Без ОС
"Ноутбук Lenovo Yoga S940-14 (i5-8265U/8Gb/512Gb SSD/14""FHD/UMA/Win10) 81Q7000HRU",92 393 ₽,"14""",512 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,6700 мА*ч,1.2 кг,Windows 10 Home
"Ноутбук HP ProBook 450 G8 15.6"" i5-1135G7/8Gb/512Gb SSD/DOS",103 740 ₽,15.6,512,8 ГБ,4,"ноутбук, блок питания",,1.74 кг,Без системы
Ноутбук Asus TUF Gaming F15 FX506HE-HN306 [90NR0704-M00D00],75 032 ₽,"15.6""",512 Гб,16,6,,,,noOS
Ноутбук WORKBOOK N1567RH 15.6,45 990 ₽,15.6,256,8 ГБ,4,ноутбук; адаптер питания; кабель; документация; коробка,5000 мА·ч,1.6 кг,DOS
Ноутбук Matebook D15 53013PLV,42 179 ₽,"15.6""",256 Гб,8 ГБ,2,адаптер питания; Кабель USB Type-C; документация,42 вт*ч,1.56 кг,Windows
CHUWI CoreBook X Pro 16Gb/512Gb 4C8T,46 998 ₽,"15,6",512 Гб,16,2 ядра,,,,Windows
"Ноутбук HP Omen 17-ck1039ci 17.3""/16 GB [79F74EA]",127 322 ₽,"17.3""",1 Тб,16,14,,,,noOS
Ноутбук Hiper OFFICE SP MTL1733B1165DS,94 827 ₽,"17.3""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,4000 мАч,2 кг,DOS
"15.6"" Ноутбук Acer Extensa EX215-52-586W",45 000 ₽,15.6,256 Гб,4 ГБ,4,"Ноутбук, зарядное устройство, техническая документация",,1.9 кг,DOS
"Игровой ноутбук TUF Dash F15 FX517ZE-HN120 15.6""",133 238 ₽,15.6,1024 Гб,16 ГБ,10,"Ноутбук, блок питания, шнур питания",до 6 ч,2 кг,Без системы
Ноутбук MacBook Air 13 M2 2022 512GB,204 117 ₽,13,256 Гб,8 ГБ,8,адаптер питания (с переходником Euro Plug); документация,,1.24 кг,macOS
Ноутбук Acer Extensa 15 15.6'' Pen/256SSD/W11 (NX.EFTER.015),46 770 ₽,15.6,256,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.9 кг,Windows Home
Ноутбук Maibenben M565 M5651SB0LSRE0,47 689 ₽,15.6,512 Гб,8 ГБ,4,,4830 мА*ч,,Linux
Ноутбук Acer Aspire 3 A315-59 (NX.K6TER.003),46 008 ₽,"15.6""",512 Гб,8,10,,,,noOS
"Ноутбук 14"" Lenovo IdeaPad 3 14ADA05 Athlon Silver 8ГБ 128ГБ",27 900 ₽,"14""",128 Гб,8,2,"ноутбук, документация, адаптер питания",,1.6 кг,DOS
"Ноутбук HP EliteBook 830 G8 13.3"" i7 1165G7/16/512(5Z607EA)",154 190 ₽,13.3,512,16 ГБ,4,"Ноутбук, блок питания, документация",,1.35 кг,Windows Pro
Ноутбук HIPER WORKBOOK U9WH2LKF,50 145 ₽,"15.6""",256 Гб,8 ГБ,4,"ноутбук, блок питания, документация",5000 мА*ч,1.6 кг,Windows 10 Home
"Ноутбук 14"" EVE C414 A9 9400/ 4Гб/ SSD128Гб/ R5 W10H",16 479 ₽,"14 """,128 Гб,4 ГБ,2,"ноутбук - 1шт, сетевой адаптер - 1шт, инструкция - 1шт",5000 мА*ч,1.4 кг,Windows
"Ноутбук MSI Modern15 B12M-234RU 15""i5/16/512",83 730 ₽,15,512,16 ГБ,10,"Ноутбук, блок питания, документация",,1.7 кг,Windows Pro
"Ноутбук X515EA-BQ1947 15,6"" Intel Pentium Gold 7505",38 660 ₽,15.6,256 Гб,4 ГБ,2,"Ноутбук, кабель, документация",37 Вт/ч,1.8 кг,Без системы
Ноутбук Lenovo 15ITL6 82H8028SRE,38 679 ₽,15.6,256 Гб,8 ГБ,2,"ноутбук, адаптер питания, документация",,1.65 кг,Free DOS
Ноутбук ASUS F515JA-BQ2726W,44 251 ₽,15.6,256 Гб,8 ГБ,2,блок питания,,1.8 кг,Windows
Ноутбук Acer TravelMate P2 TMP215-53-36CS (NX.VPVER.00B),49 470 ₽,15.6'',256 Гб,8 ГБ,2 ядра,Ноутбук - 1 шт,,1.6 кг,Windows 10 Pro
"MacBook Pro 16.2""1 tb Apple M2 (MNW93)2023",299 200 ₽,16.2 дюйм,1 Тб,16,12 ядер; Количество ядер Neural Engine 16,MacBook Pro Адаптер питания USB-C USB-C Charge Cable (2 m),100 Ватт-часов; Технология аккумулятора Литий-Полимерная; Количество установленных батарей 1,2.15 кг,Apple macOS Ventura
"Ноутбук ACER ASPIRE 3 CI5-1135G7 15"" 8/512GB NX.ADDEP.01M",48 960 ₽,"15.6 """,512 Гб,8,4,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,1.7 кг,
"Xiaomi Redmibook, Pro 14"" 2022 R5 6600H 16G 512G AMD Grey",75 990 ₽,"14""",512 Гб,16 ГБ,6-ядерный,,56 Wh,,Windows 10 trial (для ознакомления)
MacBook Pro 14/M2 Pro/16/512 (Silver),182 591 ₽,"14.2""",512 ГБ,16 ГБ,10,Macbook; документация; зарядное устройство; кабель,,1.6 кг,macOS
Lenovo М15 G2 ALC ryzen 3 5300U 16 гб озу 256 ГБ SSD PCIe,51 000 ₽,"15,6""",256 Gb,16 ГБ,4,,38 Вт*ч,1.7 кг,Windows 11 Home
"Xiaomi Pro RedmiBook, 14"", AMD R5 5625U 2.3ггц, 16ГБ, 512ГБ",75 390 ₽,"14""",512 Гб,16 ГБ,6-ядерный,Переходник - 1шт; Гарантийный талон - 1шт; кабель питания - 1шт; адаптер питания - 1шт; Ноутбук - 1шт,56 Wh,1.42 кг,Windows 10 trial (для ознакомления)
